;open;high;low;close;1h_chg%;24h_chg%;next_1h_chg;next_1h_high%;next_3h_high%;next_24h_chg;volume;qav;num_trades;taker_base_vol;taker_quote_vol;taker%;open_interest;oi_24h_chg%;oi_7d_chg%;%_long;%L_24h_chg%;%L_7d_chg%;fundings;fund_24h_chg;fund_7d_chg;liquidations_long;liquidations_short
23/12/2023 18:00;43746,88;43850;43701,83;43787,69;0,09%;0,19%;-0,19%;0,08%;0,08%;-0,37%;561,61192;24589106,46;34271;280,11958;12264434,49;50%;79164,402;2,14%;5,07%;50,94;-1,41%;-6,67%;0,015066;-0,29%;0,51%;2891,8758;2891,8758
23/12/2023 19:00;43787,69;43821,69;43695,03;43703,81;-0,19%;-0,22%;0,02%;0,08%;0,30%;-0,10%;547,96785;23970508,11;34598;244,4413;10692809,86;45%;79116,413;2,16%;5,03%;50,94;-1,43%;-7,01%;0,015066;-0,29%;0,51%;40974,1667;40974,1667
23/12/2023 20:00;43703,82;43738,74;43632,77;43711,33;0,02%;-0,59%;0,14%;0,16%;0,29%;-0,21%;486,4342;21253241,29;29728;227,59732;9943927,296;47%;79268,237;2,51%;4,91%;50,98;-1,30%;-7,56%;0,015066;-0,29%;0,51%;28385,8322;28385,8322
23/12/2023 21:00;43711,33;43779,71;43661,81;43772,55;0,14%;-0,09%;-0,06%;0,14%;0,14%;-0,62%;395,6197;17304544,27;30857;197,92315;8656864,268;50%;79189,474;2,40%;4,44%;50,8;0,30%;-7,92%;0,015066;-0,12%;0,51%;0;0
23/12/2023 22:00;43772,55;43835,94;43737,85;43745,86;-0,06%;0,25%;-0,10%;0,14%;0,37%;-0,59%;577,03505;25263046,95;36307;242,31768;10609082,03;42%;78934,092;2,32%;3,28%;50,79;1,18%;-8,12%;0,015066;-0,12%;0,51%;2888,6484;2888,6484
23/12/2023 23:00;43745,86;43806,38;43701,1;43702,16;-0,10%;0,49%;0,03%;0,05%;0,47%;-1,66%;940,55167;41160182,7;39057;388,15545;16985292,09;41%;78625,155;1,38%;2,36%;50,83;1,11%;-8,35%;0,015066;-0,12%;0,51%;7214,658;7214,658
24/12/2023 00:00;43702,15;43722,25;43606,18;43716,72;0,03%;0,44%;0,15%;0,44%;0,44%;-1,66%;773,85301;33799622,6;40650;345,58209;15093007,12;45%;78416,408;0,31%;2,58%;50,84;-0,57%;-9,36%;0,01;-0,63%;0,00%;28437,045;28437,045
24/12/2023 01:00;43716,71;43907,57;43716,71;43781,99;0,15%;0,64%;0,17%;0,28%;0,37%;-1,97%;822,10433;36027086,98;43900;416,15857;18237009,56;51%;77860,889;-0,41%;2,19%;50,66;-2,03%;-10,97%;0,01;-0,63%;0,00%;15902,9937;15902,9937
24/12/2023 02:00;43781,99;43904,03;43778,54;43856,85;0,17%;0,76%;-0,05%;0,03%;0,20%;-1,84%;762,5199;33429068,41;34541;362,77864;15903912,99;48%;78288,176;0,15%;2,68%;50,74;-0,76%;-10,70%;0,01;-0,63%;0,00%;37877,933;37877,933
24/12/2023 03:00;43856,86;43869,6;43805,49;43834,48;-0,05%;0,76%;-0,09%;0,25%;0,25%;-1,76%;543,55009;23827052,42;27625;250,78553;10992810,55;46%;78249,748;0,08%;1,44%;50,69;-1,97%;-11,02%;0,01;-0,63%;0,00%;15573,069;15573,069
24/12/2023 04:00;43834,48;43946;43758,32;43794,81;-0,09%;0,43%;-0,70%;0,01%;0,01%;-1,47%;865,25473;37948662,93;46175;422,83931;18544558,49;49%;78835,39;0,41%;2,33%;50,68;-2,37%;-11,86%;0,01;-0,63%;0,00%;75647,6458;75647,6458
24/12/2023 05:00;43794,81;43800;43420,01;43490,01;-0,70%;-0,33%;0,15%;0,16%;0,40%;-0,89%;2214,82467;96524568,83;78443;970,94965;42311268,68;44%;79300,714;1,23%;2,72%;50,74;-3,17%;-11,96%;0,01;-0,63%;0,00%;1192234,659;1192234,659
